ID,Zone,Woreda,Kebele,Forest name,Area in hec.,X,Y,Remark,Latitude,Longitude
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354213.0,970255.0,, 8.77519° N, 37.67455° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354157.0,970324.0,, 8.77581° N, 37.67404° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354153.0,970385.0,, 8.77636° N, 37.67400° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354167.0,970446.0,, 8.77691° N, 37.67412° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354231.0,970487.0,, 8.77729° N, 37.67470° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354203.0,970516.0,, 8.77755° N, 37.67445° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354163.0,970508.0,, 8.77747° N, 37.67409° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354189.0,970572.0,, 8.77805° N, 37.67432° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354145.0,970612.0,, 8.77841° N, 37.67392° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354140.0,970607.0,, 8.77837° N, 37.67387° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354150.0,970574.0,, 8.77807° N, 37.67397° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354141.0,970573.0,, 8.77806° N, 37.67388° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354102.0,970615.0,, 8.77844° N, 37.67353° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354073.0,970579.0,, 8.77811° N, 37.67327° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354085.0,970545.0,, 8.77781° N, 37.67338° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354051.0,970479.0,, 8.77721° N, 37.67307° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,354053.0,970448.0,, 8.77693° N, 37.67309° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353921.0,970487.0,, 8.77728° N, 37.67189° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353875.0,970401.0,, 8.77650° N, 37.67147° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353939.0,970314.0,, 8.77571° N, 37.67206° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353933.0,970251.0,, 8.77514° N, 37.67200° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353812.0,970228.0,, 8.77493° N, 37.67090° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353847.0,970187.0,, 8.77456° N, 37.67122° E
,West Showa,DireInchini,Arfingo Dage,Digo forest,,353940.0,970197.0,, 8.77465° N, 37.67207° E
,,,,,,,,, nan° N, nan° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,201.67 ha,350640.0,967147.0,, 8.74697° N, 37.64217° E
7.0,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350606.0,967270.0,, 8.74808° N, 37.64186° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350594.0,967390.0,, 8.74916° N, 37.64175° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350516.0,967526.0,, 8.75039° N, 37.64103° E
,West Showa,DireInchini,Buyama Daballe,Daballe forest,,350509.0,967618.0,, 8.75122° N, 37.64097° E
